index,date,campaign,adgroup,ad,cost
0,01-03-2021,campaign 1,adgroup 1,ad 1,0.58
6,01-03-2021,campaign 1,adgroup 1,ad 2,1.67
10,01-03-2021,campaign 1,adgroup 1,ad 3,1.64
15,01-03-2021,campaign 1,adgroup 1,ad 7,0.3
18,01-03-2021,campaign 1,adgroup 1,ad 10,0.22
21,02-03-2021,campaign 1,adgroup 1,ad 1,0.65
23,02-03-2021,campaign 1,adgroup 1,ad 2,1.57
26,02-03-2021,campaign 1,adgroup 1,ad 3,1.65
33,02-03-2021,campaign 1,adgroup 1,ad 7,0.46
37,02-03-2021,campaign 1,adgroup 1,ad 10,0.12
40,03-03-2021,campaign 1,adgroup 1,ad 1,0.08
41,03-03-2021,campaign 1,adgroup 1,ad 2,0.18
44,03-03-2021,campaign 1,adgroup 1,ad 3,0.4
49,03-03-2021,campaign 1,adgroup 1,ad 7,0.07
54,03-03-2021,campaign 1,adgroup 1,ad 71,0.81
57,03-03-2021,campaign 1,adgroup 1,ad 10,0.02
61,03-03-2021,campaign 1,adgroup 1,ad 72,0.67
63,03-03-2021,campaign 1,adgroup 1,ad 72,1.69
67,04-03-2021,campaign 1,adgroup 1,ad 71,1.66
74,04-03-2021,campaign 1,adgroup 1,ad 72,0.91
76,04-03-2021,campaign 1,adgroup 1,ad 72,1.4
80,05-03-2021,campaign 1,adgroup 1,ad 73,1.07
82,05-03-2021,campaign 1,adgroup 1,ad 71,0.2
86,05-03-2021,campaign 1,adgroup 1,ad 74,1.94
89,05-03-2021,campaign 1,adgroup 1,ad 75,0.72
92,05-03-2021,campaign 1,adgroup 1,ad 72,0.31
93,05-03-2021,campaign 1,adgroup 1,ad 72,0.27
100,06-03-2021,campaign 1,adgroup 1,ad 73,0.61
105,06-03-2021,campaign 1,adgroup 1,ad 74,2.67
109,06-03-2021,campaign 1,adgroup 1,ad 75,0.58
113,07-03-2021,campaign 1,adgroup 1,ad 73,0.63
117,07-03-2021,campaign 1,adgroup 1,ad 74,3.47
118,07-03-2021,campaign 1,adgroup 1,ad 75,0.77
122,08-03-2021,campaign 1,adgroup 1,ad 1,0.62
126,08-03-2021,campaign 1,adgroup 1,ad 2,1.49
128,08-03-2021,campaign 1,adgroup 1,ad 3,1.62
136,08-03-2021,campaign 1,adgroup 1,ad 7,0.15
139,08-03-2021,campaign 1,adgroup 1,ad 73,0
140,08-03-2021,campaign 1,adgroup 1,ad 10,0.16
144,08-03-2021,campaign 1,adgroup 1,ad 55,0.17
147,08-03-2021,campaign 1,adgroup 1,ad 56,0.31
148,09-03-2021,campaign 1,adgroup 1,ad 1,0.44
152,09-03-2021,campaign 1,adgroup 1,ad 2,0.9
156,09-03-2021,campaign 1,adgroup 1,ad 3,1.15
163,09-03-2021,campaign 1,adgroup 1,ad 7,0.07
166,09-03-2021,campaign 1,adgroup 1,ad 10,0.29
169,09-03-2021,campaign 1,adgroup 1,ad 55,0.1
172,09-03-2021,campaign 1,adgroup 1,ad 56,0.37
173,10-03-2021,campaign 1,adgroup 1,ad 1,0.49
178,10-03-2021,campaign 1,adgroup 1,ad 2,0.85
183,10-03-2021,campaign 1,adgroup 1,ad 3,2.05
188,10-03-2021,campaign 1,adgroup 1,ad 7,0.22
191,10-03-2021,campaign 1,adgroup 1,ad 10,0.1
192,10-03-2021,campaign 1,adgroup 1,ad 56,0.31
194,10-03-2021,campaign 1,adgroup 1,ad 55,0.07
199,11-03-2021,campaign 1,adgroup 1,ad 1,0.43
202,11-03-2021,campaign 1,adgroup 1,ad 2,1.17
206,11-03-2021,campaign 1,adgroup 1,ad 3,1.41
211,11-03-2021,campaign 1,adgroup 1,ad 7,0.14
214,11-03-2021,campaign 1,adgroup 1,ad 10,0.18
216,11-03-2021,campaign 1,adgroup 1,ad 56,0.2
219,11-03-2021,campaign 1,adgroup 1,ad 55,0.19
222,12-03-2021,campaign 1,adgroup 1,ad 1,0.43
225,12-03-2021,campaign 1,adgroup 1,ad 2,0.98
228,12-03-2021,campaign 1,adgroup 1,ad 3,1.08
234,12-03-2021,campaign 1,adgroup 1,ad 7,0.07
238,12-03-2021,campaign 1,adgroup 1,ad 10,0.26
239,12-03-2021,campaign 1,adgroup 1,ad 56,0.28
242,12-03-2021,campaign 1,adgroup 1,ad 55,0.11
247,13-03-2021,campaign 1,adgroup 1,ad 1,0.28
250,13-03-2021,campaign 1,adgroup 1,ad 2,0.73
251,13-03-2021,campaign 1,adgroup 1,ad 3,1.27
258,13-03-2021,campaign 1,adgroup 1,ad 7,0.07
262,13-03-2021,campaign 1,adgroup 1,ad 10,0.22
263,13-03-2021,campaign 1,adgroup 1,ad 56,0.26
265,13-03-2021,campaign 1,adgroup 1,ad 55,0.1
270,14-03-2021,campaign 1,adgroup 1,ad 1,0.4
273,14-03-2021,campaign 1,adgroup 1,ad 2,0.84
278,14-03-2021,campaign 1,adgroup 1,ad 3,1.76
285,14-03-2021,campaign 1,adgroup 1,ad 7,0.14
287,14-03-2021,campaign 1,adgroup 1,ad 10,0.21
289,14-03-2021,campaign 1,adgroup 1,ad 55,0.05
291,14-03-2021,campaign 1,adgroup 1,ad 56,0.24
294,15-03-2021,campaign 1,adgroup 1,ad 1,0.48
297,15-03-2021,campaign 1,adgroup 1,ad 2,0.97
302,15-03-2021,campaign 1,adgroup 1,ad 3,1.36
309,15-03-2021,campaign 1,adgroup 1,ad 7,0.23
311,15-03-2021,campaign 1,adgroup 1,ad 10,0.1
315,15-03-2021,campaign 1,adgroup 1,ad 55,0.14
317,15-03-2021,campaign 1,adgroup 1,ad 56,0.33
3,01-03-2021,campaign 1,adgroup 2,ad 1,0.01
4,01-03-2021,campaign 1,adgroup 2,ad 2,0.01
7,01-03-2021,campaign 1,adgroup 2,ad 3,0
14,01-03-2021,campaign 1,adgroup 2,ad 7,0.02
22,02-03-2021,campaign 1,adgroup 2,ad 1,0.02
25,02-03-2021,campaign 1,adgroup 2,ad 2,0.02
29,02-03-2021,campaign 1,adgroup 2,ad 3,0
35,02-03-2021,campaign 1,adgroup 2,ad 7,0.04
42,03-03-2021,campaign 1,adgroup 2,ad 3,0
50,03-03-2021,campaign 1,adgroup 2,ad 7,0
56,03-03-2021,campaign 1,adgroup 2,ad 71,0.01
60,03-03-2021,campaign 1,adgroup 2,ad 72,0.01
64,03-03-2021,campaign 1,adgroup 2,ad 72,0.04
69,04-03-2021,campaign 1,adgroup 2,ad 71,0.05
73,04-03-2021,campaign 1,adgroup 2,ad 72,0
79,05-03-2021,campaign 1,adgroup 2,ad 73,0.05
84,05-03-2021,campaign 1,adgroup 2,ad 74,0.04
95,05-03-2021,campaign 1,adgroup 2,ad 72,0.02
96,05-03-2021,campaign 1,adgroup 2,ad 72,0
99,06-03-2021,campaign 1,adgroup 2,ad 73,0.01
104,06-03-2021,campaign 1,adgroup 2,ad 74,0.03
106,06-03-2021,campaign 1,adgroup 2,ad 75,0.03
112,07-03-2021,campaign 1,adgroup 2,ad 73,0.07
114,07-03-2021,campaign 1,adgroup 2,ad 74,0.07
120,07-03-2021,campaign 1,adgroup 2,ad 75,0.03
125,08-03-2021,campaign 1,adgroup 2,ad 1,0
127,08-03-2021,campaign 1,adgroup 2,ad 2,0.02
131,08-03-2021,campaign 1,adgroup 2,ad 3,0.02
137,08-03-2021,campaign 1,adgroup 2,ad 7,0.06
141,08-03-2021,campaign 1,adgroup 2,ad 56,0
145,08-03-2021,campaign 1,adgroup 2,ad 55,0.01
153,09-03-2021,campaign 1,adgroup 2,ad 2,0
155,09-03-2021,campaign 1,adgroup 2,ad 3,0.03
161,09-03-2021,campaign 1,adgroup 2,ad 7,0
168,09-03-2021,campaign 1,adgroup 2,ad 56,0.01
174,10-03-2021,campaign 1,adgroup 2,ad 1,0
179,10-03-2021,campaign 1,adgroup 2,ad 2,0.02
180,10-03-2021,campaign 1,adgroup 2,ad 3,0.03
189,10-03-2021,campaign 1,adgroup 2,ad 7,0.01
197,11-03-2021,campaign 1,adgroup 2,ad 1,0
200,11-03-2021,campaign 1,adgroup 2,ad 2,0.06
204,11-03-2021,campaign 1,adgroup 2,ad 3,0
210,11-03-2021,campaign 1,adgroup 2,ad 7,0.03
215,11-03-2021,campaign 1,adgroup 2,ad 56,0.02
223,12-03-2021,campaign 1,adgroup 2,ad 1,0.01
224,12-03-2021,campaign 1,adgroup 2,ad 2,0.04
229,12-03-2021,campaign 1,adgroup 2,ad 3,0.02
236,12-03-2021,campaign 1,adgroup 2,ad 7,0.02
240,12-03-2021,campaign 1,adgroup 2,ad 56,0
244,13-03-2021,campaign 1,adgroup 2,ad 1,0
248,13-03-2021,campaign 1,adgroup 2,ad 2,0.03
252,13-03-2021,campaign 1,adgroup 2,ad 3,0.03
260,13-03-2021,campaign 1,adgroup 2,ad 7,0.02
264,13-03-2021,campaign 1,adgroup 2,ad 55,0.02
268,13-03-2021,campaign 1,adgroup 2,ad 56,0
269,14-03-2021,campaign 1,adgroup 2,ad 1,0.03
274,14-03-2021,campaign 1,adgroup 2,ad 2,0.02
279,14-03-2021,campaign 1,adgroup 2,ad 3,0.03
283,14-03-2021,campaign 1,adgroup 2,ad 7,0
296,15-03-2021,campaign 1,adgroup 2,ad 1,0.02
299,15-03-2021,campaign 1,adgroup 2,ad 2,0
